words,labels,entities,term_list
"['Il', 'est', 'vrai', 'que', 'dans', 'notre', 'pays', 'il', 'est', 'prudent', ""d'"", 'être', 'méfiant', 'sur', 'les', 'solutions', 'que', 'les', 'industriels', 'nous', 'proposent', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Lorsque', 'la', 'politique', ""s'"", 'intéresse', 'à', 'ces', 'solutions', ""c'"", 'est', 'bien', 'souvent', 'pour', 'tenter', 'de', 'nous', 'les', 'imposer', ':', 'par', 'exemple', 'les', 'OGM', 'ou', 'le', 'grand', 'contournement', 'de', 'Toulouse', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 28, 28)}",['Toulouse']
"['Nous', 'allons', 'tenter', 'de', 'comprendre', 'les', 'spécificités', 'du', 'fonctionnement', ""d'"", 'une', 'éolienne', ',', 'nous', 'intéresser', 'au', 'dessous', 'du', 'développement', 'de', ""l'"", 'éolien', 'industriel', 'et', 'enfin', 'étudier', 'ce', 'que', 'nous', 'simples', 'citoyens', 'nous', 'pouvons', 'faire', 'de', ""l'"", 'héritage', 'laissé', 'par', 'le', 'dieu', 'Eole', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 41, 41), ('Term', 11, 11), ('Term', 21, 22)}","['Eole', 'éolienne', 'éolien industriel']"
"['Comment', 'fonctionne', 'une', 'éolienne', '?']","['O', 'O', 'O', 'B-Term', 'O']","{('Term', 3, 3)}",['éolienne']
"['Très', 'tôt', ',', 'dans', ""l'"", 'histoire', 'des', 'techniques', ',', 'le', 'vent', 'a', 'été', 'exploité', 'afin', ""d'"", 'en', 'extraire', 'de', ""l'"", 'énergie', 'mécanique', ':', 'pour', 'les', 'moulins', ',', 'le', 'pompage', 'ou', ',', 'au', 'Moyen', 'Age', ',', 'pour', ""l'"", 'industrie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 25, 25), ('Term', 7, 7), ('Term', 20, 21), ('Term', 28, 28)}","['vent', 'moulins', 'techniques', 'énergie mécanique', 'pompage']"
"['Vers', 'le', 'milieu', 'du', 'XIXème', 'siècle', ',', 'il', 'y', 'avait', 'environ', '200', '000', 'moulins', 'à', 'vent', 'en', 'Europe', ',', 'mais', ""l'"", 'arrivée', 'des', 'machines', 'à', 'vapeur', 'industrielles', 'a', 'entraîné', 'leur', 'déclin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 17, 17), ('Term', 23, 23), ('Term', 13, 15)}","['Europe', 'machines', 'moulins à vent']"
"[""C'"", 'est', 'principalement', 'la', 'crise', 'pétrolière', 'de', '1974', 'qui', 'a', 'relancé', 'les', 'études', 'et', 'les', 'expériences', 'sur', 'les', 'éoliennes', '.']","['O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 18, 18), ('Term', 4, 5)}","['éoliennes', 'crise pétrolière']"
"[""Aujourd'hui"", ',', 'on', 'cherche', 'surtout', 'à', 'les', 'utiliser', 'pour', 'produire', 'de', ""l'"", 'énergie', 'électrique', 'suivant', 'le', 'principe', 'aussi', 'exploité', 'dans', 'toutes', 'les', 'centrales', 'électriques', ':', 'un', 'fluide', '(', 'ici', ':', 'le', 'vent', ')', 'entraîne', 'une', 'turbine', 'reliée', 'mécaniquement', 'à', 'une', 'machine', 'électrique', ',', 'appelée', 'génératrice', ',', 'qui', 'va', 'produire', 'du', 'courant', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 50, 50), ('Term', 22, 23), ('Term', 35, 35), ('Term', 31, 31), ('Term', 37, 37), ('Term', 12, 13), ('Term', 40, 41), ('Term', 44, 44)}","['courant', 'centrales électriques', 'turbine', 'vent', 'mécaniquement', 'énergie électrique', 'machine électrique', 'génératrice']"
"['Une', 'éolienne', 'permet', 'de', 'transformer', ""l'"", 'énergie', 'cinétique', 'du', 'vent', 'en', 'énergie', 'électrique', '.']","['O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 6, 7), ('Term', 1, 1), ('Term', 9, 9), ('Term', 11, 12), ('Term', 4, 4)}","['énergie cinétique', 'éolienne', 'vent', 'énergie électrique', 'transformer']"
"['Elle', 'se', 'compose', 'des', 'éléments', 'suivants', ':', '•', 'le', 'mât', 'permet', 'de', 'placer', 'le', 'rotor', 'à', 'une', 'hauteur', 'suffisante', 'pour', 'permettre', 'son', 'mouvement', 'en', 'étant', 'entraîné', 'par', 'un', 'vent', 'plus', 'fort', 'et', 'régulier', ""qu'"", 'au', 'niveau', 'du', 'sol', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 14, 14), ('Term', 9, 9), ('Term', 28, 28)}","['rotor', 'mât', 'vent']"
"['Le', 'mât', 'abrite', 'généralement', 'une', 'partie', 'des', 'composants', 'électriques', 'et', 'électroniques', '(', 'modulateur', ',', 'commande', ',', 'multiplicateur', ',', 'générateur', ',', 'etc.', ')', '•', 'un', 'rotor', ',', 'composé', 'de', 'plusieurs', 'pales', '(', 'en', 'général', '3', 'pour', 'des', 'contraintes', 'physiques', ')', 'et', 'du', 'nez', 'de', ""l'"", 'éolienne', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 10, 10), ('Term', 18, 18), ('Term', 16, 16), ('Term', 41, 44), ('Term', 1, 1), ('Term', 29, 29), ('Term', 8, 8), ('Term', 12, 12), ('Term', 24, 24)}","['électroniques', 'générateur', 'multiplicateur', ""nez de l' éolienne"", 'mât', 'pales', 'électriques', 'modulateur', 'rotor']"
"['Le', 'rotor', 'est', 'entraîné', 'par', ""l'"", 'énergie', 'du', 'vent', 'et', 'peut', 'être', 'couplé', 'directement', 'ou', 'indirectement', 'à', 'une', 'pompe', '(', 'cas', 'des', 'éoliennes', 'de', 'pompage', ')', 'ou', 'plus', 'généralement', 'à', 'un', 'générateur', 'électrique', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 18, 18), ('Term', 1, 1), ('Term', 22, 24), ('Term', 6, 8), ('Term', 31, 32)}","['pompe', 'rotor', 'éoliennes de pompage', 'énergie du vent', 'générateur électrique']"
"['Le', 'rotor', 'est', 'relié', 'à', 'la', 'nacelle', 'par', 'le', 'moyeu', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 6, 6), ('Term', 9, 9), ('Term', 1, 1)}","['nacelle', 'moyeu', 'rotor']"
"['•', 'une', 'nacelle', 'montée', 'au', 'sommet', 'du', 'mât', 'et', 'abritant', 'les', 'composants', 'mécaniques', 'et', 'pneumatiques', 'et', 'certains', 'composants', 'électriques', 'et', 'électroniques', 'nécessaires', 'au', 'fonctionnement', 'de', 'la', 'machine', '•', 'dans', 'le', 'cas', 'des', 'éoliennes', 'produisant', 'de', ""l'"", 'électricité', ',', 'un', 'poste', 'de', 'livraison', 'situé', 'à', 'proximité', 'du', 'parc', 'éolien', 'permet', 'de', 'relier', 'ce', 'parc', 'au', 'réseau', 'électrique', 'pour', 'y', 'injecter', ""l'"", 'intégralité', 'de', ""l'"", 'énergie', 'produite']","['O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 18, 18), ('Term', 2, 2), ('Term', 26, 26), ('Term', 36, 36), ('Term', 54, 55), ('Term', 39, 41), ('Term', 7, 7), ('Term', 63, 63), ('Term', 20, 20), ('Term', 46, 47), ('Term', 32, 32), ('Term', 14, 14), ('Term', 12, 12)}","['électriques', 'nacelle', 'machine', 'électricité', 'réseau électrique', 'poste de livraison', 'mât', 'énergie', 'électroniques', 'parc éolien', 'éoliennes', 'pneumatiques', 'mécaniques']"
"['Figure', '1', ':', 'Schéma', ""d'"", 'une', 'éolienne', 'de', 'type', 'aérogénérateur', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 6, 6), ('Term', 9, 9)}","['éolienne', 'aérogénérateur']"
"['Intéressons', 'nous', 'maintenant', 'au', 'fluide', 'nécessaire', 'au', 'fonctionnement', 'de', ""l'"", 'éolienne', ':', 'le', 'vent', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 13, 13)}","['éolienne', 'vent']"
"['Nous', 'avons', 'tous', 'une', 'perception', 'intuitive', 'des', 'particularités', 'du', 'vent', ':', 'il', 'est', 'imprévisible', ',', 'instable', ',', 'irrégulier', ',', 'variable', ',', 'etc.', ',', 'bref', 'indomptable', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 9, 9)}",['vent']
"['Par', 'contre', 'il', 'peut', 'être', 'puissant', 'et', 'récurrent', 'à', 'certains', 'endroits', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Nous', 'comprenons', 'donc', 'que', ""l'"", 'énergie', 'éolienne', 'a', 'un', 'caractère', 'aléatoire', 'mais', 'peut', 'être', 'exploitée', 'à', 'condition', 'de', 'bien', 'choisir', 'le', 'site', 'de', 'production', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 6)}",['énergie éolienne']
"[""L'"", 'efficacité', ""d'"", 'une', 'éolienne', 'dépend', 'de', 'son', 'emplacement', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 4, 4)}",['éolienne']
"['En', 'effet', ',', 'la', 'puissance', 'fournie', 'augmente', 'avec', 'le', 'cube', 'de', 'la', 'vitesse', 'du', 'vent', ',', 'raison', 'pour', 'laquelle', 'les', 'sites', 'sont', ""d'"", 'abord', 'choisis', 'en', 'fonction', 'de', 'la', 'vitesse', 'et', 'la', 'fréquence', 'des', 'vents', 'présents', '.']","['O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O']","{('Term', 29, 29), ('Term', 12, 14), ('Term', 33, 34), ('Term', 4, 5)}","['vitesse', 'vitesse du vent', 'des vents', 'puissance fournie']"
"['Un', 'site', 'avec', 'des', 'vents', ""d'"", 'environ', '30', 'km', '/', 'h', 'de', 'moyenne', 'sera', 'environ', '8', 'fois', 'plus', 'productif', ""qu'"", 'un', 'autre', 'site', 'avec', 'des', 'vents', 'de', '15', 'km', '/', 'h', 'de', 'moyenne', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 25, 25), ('Term', 4, 4)}","['vents', 'vents']"
"['Afin', 'de', 'lisser', ""l'"", 'irrégularité', 'du', 'vent', ',', 'il', 'est', 'nécessaire', 'de', 'mettre', 'en', 'place', 'sur', 'la', 'chaîne', 'de', 'production', 'de', ""l'"", 'éolienne', 'une', 'régulation', 'Les', 'objectifs', 'de', 'cette', 'régulation', 'sont', ""d'"", 'assurer', 'la', 'sécurité', 'de', ""l'"", 'éolienne', 'par', 'vents', 'forts', 'et', 'de', 'limiter', 'la', 'puissance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 6, 6), ('Term', 22, 22), ('Term', 37, 37), ('Term', 39, 39), ('Term', 45, 45)}","['vent', 'éolienne', 'éolienne', 'vents', 'puissance']"
"['Une', 'turbine', 'éolienne', 'est', 'dimensionnée', 'pour', 'développer', 'sur', 'son', 'arbre', 'une', 'puissance', 'dénommée', 'puissance', 'nominale', 'Pn', '.']","['O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'BN-Term', 'I-Term', 'O', 'O']","{('Term', 11, 11), ('Term', 9, 9), ('Term', 13, 14), ('Term', 1, 2)}","['puissance', 'arbre', 'puissance nominale', 'turbine éolienne']"
"['La', 'puissance', 'Pn', 'est', 'obtenue', 'à', 'partir', ""d'"", 'une', 'vitesse', 'du', 'vent', 'vn', ',', 'dénommée', 'vitesse', 'nominale', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O']","{('Term', 15, 16), ('Term', 1, 1), ('Term', 9, 11)}","['vitesse nominale', 'puissance', 'vitesse du vent']"
"['Lorsque', 'la', 'vitesse', 'du', 'vent', 'est', 'supérieure', 'à', 'vn', 'la', 'turbine', 'éolienne', 'doit', 'modifier', 'ses', 'paramètres', 'afin', ""d'"", 'éviter', 'la', 'destruction', 'mécanique', ',', 'de', 'sorte', 'que', 'sa', 'vitesse', 'de', 'rotation', 'reste', 'pratiquement', 'constante', '.']","['O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O']","{('Term', 27, 29), ('Term', 10, 11), ('Term', 2, 4), ('Term', 21, 21)}","['vitesse de rotation', 'turbine éolienne', 'vitesse du vent', 'mécanique']"
"['A', 'côté', 'de', 'la', 'vitesse', 'nominale', 'vn', ',', 'on', 'note', 'aussi', ':', '-', 'la', 'vitesse', 'de', 'démarrage', ',', 'vD', ',', 'à', 'partir', 'de', 'laquelle', ""l'"", 'éolienne', 'commence', 'à', 'fournir', 'de', ""l'"", 'énergie', ',', '-', 'la', 'vitesse', 'maximale', 'du', 'vent', ',', 'vM', ',', 'à', 'laquelle', 'la', 'turbine', 'ne', 'produit', 'plus', ""d'"", 'énergie', ',', 'pour', 'des', 'raisons', 'de', 'sûreté', 'de', 'fonctionnement', '.']","['O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 50, 50), ('Term', 38, 38), ('Term', 25, 25), ('Term', 14, 16), ('Term', 31, 31), ('Term', 45, 45), ('Term', 4, 5)}","['énergie', 'vent', 'éolienne', 'vitesse de démarrage', 'énergie', 'turbine', 'vitesse nominale']"
"['Les', 'vitesses', 'vn', ',', 'vD', 'et', 'vM', 'définissent', 'quatre', 'zones', 'sur', 'le', 'diagramme', 'de', 'la', 'puissance', 'utile', 'en', 'fonction', 'de', 'la', 'vitesse', 'du', 'vent', ':']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 15, 16), ('Term', 21, 23)}","['puissance utile', 'vitesse du vent']"
